Name,Position,Age,Club,Height,Foot,Caps,Goals,MarketValue,Country,Height_m
Vanja Milinković-Savić,Goalkeeper,27,Torino FC,202,right,19,0,5000000,Serbia,2.02
Strahinja Pavlovic,Centre-Back,23,Red Bull Salzburg,194,left,34,4,25000000,Serbia,1.94
Nikola Milenković,Centre-Back,26,ACF Fiorentina,195,right,52,3,15000000,Serbia,1.95
Milos Veljkovic,Centre-Back,28,SV Werder Bremen,188,right,30,1,4500000,Serbia,1.88
Srdjan Babic,Centre-Back,28,Spartak Moscow,194,left,8,1,4000000,Serbia,1.94
Nemanja Gudelj,Centre-Back,32,Sevilla FC,187,right,61,1,3500000,Serbia,1.87
Nemanja Stojic,Centre-Back,26,FK TSC Backa Topola,190,right,1,0,2000000,Serbia,1.9
Uros Spajic,Centre-Back,31,Red Star Belgrade,188,right,21,0,1200000,Serbia,1.88
Filip Mladenovic,Left-Back,32,Panathinaikos FC,180,left,30,1,900000,Serbia,1.8
Srdjan Mijailovic,Defensive Midfield,30,Red Star Belgrade,178,right,7,0,1700000,Serbia,1.78
Sergej Milinković-Savić,Central Midfield,29,Al-Hilal SFC,192,right,50,8,30000000,Serbia,1.92
Lazar Samardžić,Central Midfield,22,Udinese Calcio,184,left,8,0,20000000,Serbia,1.84
Ivan Ilić,Central Midfield,23,Torino FC,186,left,15,0,18000000,Serbia,1.86
Saša Lukić,Central Midfield,27,Fulham FC,182,right,45,2,10000000,Serbia,1.82
Nemanja Maksimovic,Central Midfield,29,Getafe CF,189,right,49,0,6000000,Serbia,1.89
Filip Kostić,Left Midfield,31,Juventus FC,184,left,62,3,6500000,Serbia,1.84
Mijat Gacinovic,Attacking Midfield,29,AEK Athens,175,right,27,2,3000000,Serbia,1.75
Veljko Birmancevic,Left Winger,26,AC Sparta Prague,179,right,4,0,9000000,Serbia,1.79
Dusan Tadic,Left Winger,35,Fenerbahce,181,left,107,22,3500000,Serbia,1.81
Andrija Zivkovic,Right Winger,27,PAOK Thessaloniki,169,left,45,1,8000000,Serbia,1.69
Dušan Vlahović,Centre-Forward,24,Juventus FC,190,left,26,13,65000000,Serbia,1.9
Aleksandar Mitrovic,Centre-Forward,29,Al-Hilal SFC,189,right,90,57,28000000,Serbia,1.89
Luka Jović,Centre-Forward,26,AC Milan,182,right,34,10,7000000,Serbia,1.82
Petar Ratkov,Centre-Forward,20,Red Bull Salzburg,193,right,1,0,5000000,Serbia,1.93
Marcin Bulka,Goalkeeper,24,OGC Nice,199,right,1,0,20000000,Poland,1.99
Wojciech Szczęsny,Goalkeeper,34,Juventus FC,196,right,81,0,6000000,Poland,1.96
Lukasz Skorupski,Goalkeeper,33,Bologna FC 1909,188,right,10,0,3500000,Poland,1.88
Jan Bednarek,Centre-Back,28,Southampton FC,189,right,56,1,11000000,Poland,1.89
Paweł Dawidowicz,Centre-Back,29,Hellas Verona,189,both,10,0,3000000,Poland,1.89
Sebastian Walukiewicz,Centre-Back,24,FC Empoli,188,right,4,1,2500000,Poland,1.88
Bartosz Salamon,Centre-Back,33,Lech Poznan,194,right,13,0,500000,Poland,1.94
Jakub Kiwior,Left-Back,24,Arsenal FC,189,left,22,1,30000000,Poland,1.89
Tymoteusz Puchacz,Left-Back,25,1.FC Kaiserslautern,180,left,14,0,2000000,Poland,1.8
Bartosz Bereszyński,Right-Back,31,FC Empoli,183,right,55,0,1300000,Poland,1.83
Jakub Piotrowski,Defensive Midfield,26,Ludogorets Razgrad,188,right,5,2,5000000,Poland,1.88
Bartosz Slisz,Defensive Midfield,25,Atlanta United FC,179,right,8,0,5000000,Poland,1.79
Damian Szymanski,Defensive Midfield,28,AEK Athens,185,right,17,2,3500000,Poland,1.85
Jakub Kaluzinski,Defensive Midfield,21,Antalyaspor,184,both,1,0,2100000,Poland,1.84
Taras Romanczuk,Defensive Midfield,32,Jagiellonia Bialystok,186,left,3,1,500000,Poland,1.86
Piotr Zieliński,Central Midfield,30,SSC Napoli,180,both,89,12,22000000,Poland,1.8
Jakub Moder,Central Midfield,25,Brighton & Hove Albion,191,right,22,2,10000000,Poland,1.91
Kacper Urbanski,Central Midfield,19,Bologna FC 1909,183,right,1,0,7000000,Poland,1.83
Przemyslaw Frankowski,Right Midfield,29,RC Lens,175,right,40,3,9000000,Poland,1.75
Nicola Zalewski,Left Midfield,22,AS Roma,175,both,17,0,12000000,Poland,1.75
Sebastian Szymanski,Attacking Midfield,25,Fenerbahce,174,left,33,3,19000000,Poland,1.74
Michal Skoras,Left Winger,24,Club Brugge KV,172,right,8,0,5000000,Poland,1.72
Kamil Grosicki,Left Winger,36,Pogon Szczecin,180,right,93,17,500000,Poland,1.8
Robert Lewandowski,Centre-Forward,35,FC Barcelona,185,right,149,82,15000000,Poland,1.85
Adam Buksa,Centre-Forward,27,Antalyaspor,191,left,15,6,6000000,Poland,1.91
Krzysztof Piatek,Centre-Forward,28,Basaksehir FK,183,right,28,11,6000000,Poland,1.83
Karol Świderski,Centre-Forward,27,Hellas Verona,184,left,30,10,5000000,Poland,1.84
Bart Verbruggen,Goalkeeper,21,Brighton & Hove Albion,194,right,6,0,18000000,Netherlands,1.94
Justin Bijlow,Goalkeeper,26,Feyenoord Rotterdam,188,right,8,0,13000000,Netherlands,1.88
Mark Flekken,Goalkeeper,30,Brentford FC,195,both,7,0,12000000,Netherlands,1.95
Matthijs de Ligt,Centre-Back,24,Bayern Munich,189,right,45,2,65000000,Netherlands,1.89
Micky van de Ven,Centre-Back,23,Tottenham Hotspur,193,left,3,0,55000000,Netherlands,1.93
Nathan Aké,Centre-Back,29,Manchester City,180,left,44,5,40000000,Netherlands,1.8
Virgil van Dijk,Centre-Back,32,Liverpool FC,195,right,67,8,30000000,Netherlands,1.95
Stefan de Vrij,Centre-Back,32,Inter Milan,189,right,63,3,7000000,Netherlands,1.89
Daley Blind,Centre-Back,34,Girona FC,180,left,107,3,3000000,Netherlands,1.8
Lutsharel Geertruida,Right-Back,23,Feyenoord Rotterdam,184,right,8,0,32000000,Netherlands,1.84
Jerdy Schouten,Defensive Midfield,27,PSV Eindhoven,185,right,4,0,28000000,Netherlands,1.85
Frenkie de Jong,Central Midfield,27,FC Barcelona,181,right,54,2,70000000,Netherlands,1.81
Joey Veerman,Central Midfield,25,PSV Eindhoven,185,right,9,1,40000000,Netherlands,1.85
Ryan Gravenberch,Central Midfield,22,Liverpool FC,190,right,12,1,35000000,Netherlands,1.9
Tijjani Reijnders,Central Midfield,25,AC Milan,185,right,8,1,30000000,Netherlands,1.85
Georginio Wijnaldum,Central Midfield,33,Al-Ettifaq FC,175,right,92,28,4000000,Netherlands,1.75
Jeremie Frimpong,Right Midfield,23,Bayer 04 Leverkusen,172,right,3,1,50000000,Netherlands,1.72
Denzel Dumfries,Right Midfield,28,Inter Milan,188,right,52,6,24000000,Netherlands,1.88
Xavi Simons,Attacking Midfield,21,RB Leipzig,179,right,13,0,80000000,Netherlands,1.79
Teun Koopmeiners,Attacking Midfield,26,Atalanta BC,184,left,21,2,50000000,Netherlands,1.84
Cody Gakpo,Left Winger,25,Liverpool FC,193,right,23,9,50000000,Netherlands,1.93
Steven Bergwijn,Left Winger,26,Ajax Amsterdam,178,right,33,8,18000000,Netherlands,1.78
Donyell Malen,Right Winger,25,Borussia Dortmund,176,right,31,6,40000000,Netherlands,1.76
Brian Brobbey,Centre-Forward,22,Ajax Amsterdam,182,right,2,0,35000000,Netherlands,1.82
Memphis Depay,Centre-Forward,30,Atlético de Madrid,178,right,91,45,10000000,Netherlands,1.78
Wout Weghorst,Centre-Forward,31,TSG 1899 Hoffenheim,197,right,32,10,6000000,Netherlands,1.97
Niklas Hedl,Goalkeeper,23,Rapid Vienna,190,right,1,0,2000000,Austria,1.9
Patrick Pentz,Goalkeeper,27,Bröndby IF,183,left,5,0,1500000,Austria,1.83
Heinz Lindner,Goalkeeper,33,Union Saint-Gilloise,187,right,36,0,300000,Austria,1.87
Kevin Danso,Centre-Back,25,RC Lens,190,right,18,0,25000000,Austria,1.9
Philipp Lienhart,Centre-Back,27,SC Freiburg,189,right,19,1,15000000,Austria,1.89
Maximilian Wöber,Centre-Back,26,Borussia Mönchengladbach,188,left,23,0,10000000,Austria,1.88
Flavius Daniliuc,Centre-Back,23,Red Bull Salzburg,188,right,2,0,6000000,Austria,1.88
Leopold Querfeld,Centre-Back,20,Rapid Vienna,190,right,1,0,5000000,Austria,1.9
Gernot Trauner,Centre-Back,32,Feyenoord Rotterdam,183,right,10,1,3500000,Austria,1.83
Phillipp Mwene,Left-Back,30,1.FSV Mainz 05,170,right,11,0,1800000,Austria,1.7
Stefan Posch,Right-Back,27,Bologna FC 1909,190,right,30,1,14000000,Austria,1.9
Florian Grillitsch,Defensive Midfield,28,TSG 1899 Hoffenheim,187,right,41,1,6500000,Austria,1.87
Konrad Laimer,Central Midfield,27,Bayern Munich,180,right,34,4,30000000,Austria,1.8
Marcel Sabitzer,Central Midfield,30,Borussia Dortmund,178,right,78,17,20000000,Austria,1.78
Nicolas Seiwald,Central Midfield,23,RB Leipzig,179,right,22,0,16000000,Austria,1.79
Alexander Prass,Left Midfield,23,SK Sturm Graz,180,left,4,0,12000000,Austria,1.8
Christoph Baumgartner,Attacking Midfield,24,RB Leipzig,180,right,36,13,18000000,Austria,1.8
Romano Schmid,Attacking Midfield,24,SV Werder Bremen,168,right,9,0,10000000,Austria,1.68
Florian Kainz,Attacking Midfield,31,1.FC Köln,176,both,27,1,2500000,Austria,1.76
Matthias Seidl,Attacking Midfield,23,Rapid Vienna,175,both,3,0,2500000,Austria,1.75
Andreas Weimann,Attacking Midfield,32,Bristol City,179,right,23,2,900000,Austria,1.79
Marco Grüll,Left Winger,25,Rapid Vienna,182,both,4,0,4000000,Austria,1.82
Patrick Wimmer,Right Winger,23,VfL Wolfsburg,182,right,10,0,15000000,Austria,1.82
Michael Gregoritsch,Centre-Forward,30,SC Freiburg,193,left,53,15,8000000,Austria,1.93
Marko Arnautovic,Centre-Forward,35,Inter Milan,190,both,111,36,4000000,Austria,1.9
Maximilian Entrup,Centre-Forward,26,TSV Hartberg,186,Unknown,2,1,2000000,Austria,1.86
Mike Maignan,Goalkeeper,28,AC Milan,191,right,15,0,38000000,France,1.91
Brice Samba,Goalkeeper,30,RC Lens,187,left,3,0,15000000,France,1.87
Alphonse Areola,Goalkeeper,31,West Ham United,195,right,5,0,10000000,France,1.95
William Saliba,Centre-Back,23,Arsenal FC,192,right,14,0,80000000,France,1.92
Benjamin Pavard,Centre-Back,28,Inter Milan,186,right,54,5,50000000,France,1.86
Dayot Upamecano,Centre-Back,25,Bayern Munich,186,right,19,2,45000000,France,1.86
Jules Koundé,Centre-Back,25,FC Barcelona,180,right,27,0,45000000,France,1.8
Ibrahima Konaté,Centre-Back,25,Liverpool FC,194,right,14,0,45000000,France,1.94
Theo Hernández,Left-Back,26,AC Milan,184,left,26,2,60000000,France,1.84
Ferland Mendy,Left-Back,29,Real Madrid,180,left,9,0,22000000,France,1.8
Jonathan Clauss,Right-Back,31,Olympique Marseille,178,right,13,2,12000000,France,1.78
Aurélien Tchouaméni,Defensive Midfield,24,Real Madrid,188,right,31,3,100000000,France,1.88
N'Golo Kanté,Defensive Midfield,33,Al-Ittihad Club,171,right,54,2,9000000,France,1.71
Eduardo Camavinga,Central Midfield,21,Real Madrid,182,left,16,1,100000000,France,1.82
Warren Zaïre-Emery,Central Midfield,18,Paris Saint-Germain,178,right,3,1,60000000,France,1.78
Adrien Rabiot,Central Midfield,29,Juventus FC,188,left,43,4,35000000,France,1.88
Youssouf Fofana,Central Midfield,25,AS Monaco,185,right,18,3,30000000,France,1.85
Kingsley Coman,Left Winger,27,Bayern Munich,181,right,55,8,50000000,France,1.81
Bradley Barcola,Left Winger,21,Paris Saint-Germain,182,right,1,0,50000000,France,1.82
Ousmane Dembélé,Right Winger,27,Paris Saint-Germain,178,both,43,5,60000000,France,1.78
Kylian Mbappé,Centre-Forward,25,Paris Saint-Germain,178,right,78,47,180000000,France,1.78
Marcus Thuram,Centre-Forward,26,Inter Milan,192,right,19,2,65000000,France,1.92
Randal Kolo Muani,Centre-Forward,25,Paris Saint-Germain,187,right,16,4,45000000,France,1.87
Antoine Griezmann,Centre-Forward,33,Atlético de Madrid,176,left,128,44,25000000,France,1.76
Olivier Giroud,Centre-Forward,37,AC Milan,192,left,132,57,3000000,France,1.92
Matz Sels,Goalkeeper,32,Nottingham Forest,188,right,8,0,7000000,Belgium,1.88
Koen Casteels,Goalkeeper,31,VfL Wolfsburg,197,left,9,0,6000000,Belgium,1.97
Thomas Kaminski,Goalkeeper,31,Luton Town,190,Unknown,1,0,3000000,Belgium,1.9
Arthur Theate,Centre-Back,24,Stade Rennais FC,185,left,15,0,20000000,Belgium,1.85
Wout Faes,Centre-Back,26,Leicester City,187,right,14,0,20000000,Belgium,1.87
Zeno Debast,Centre-Back,20,RSC Anderlecht,191,right,7,0,18000000,Belgium,1.91
Axel Witsel,Centre-Back,35,Atlético de Madrid,186,right,131,12,3500000,Belgium,1.86
Jan Vertonghen,Centre-Back,37,RSC Anderlecht,189,left,154,10,1500000,Belgium,1.89
Maxim De Cuyper,Left-Back,23,Club Brugge KV,182,left,1,0,9000000,Belgium,1.82
Timothy Castagne,Right-Back,28,Fulham FC,185,right,42,2,17000000,Belgium,1.85
Thomas Meunier,Right-Back,32,Trabzonspor,191,right,65,8,2500000,Belgium,1.91
Amadou Onana,Defensive Midfield,22,Everton FC,195,right,12,0,50000000,Belgium,1.95
Youri Tielemans,Central Midfield,27,Aston Villa,177,right,67,7,25000000,Belgium,1.77
Arthur Vermeeren,Central Midfield,19,Atlético de Madrid,180,right,4,0,25000000,Belgium,1.8
Orel Mangala,Central Midfield,26,Olympique Lyon,178,right,14,0,20000000,Belgium,1.78
Aster Vranckx,Central Midfield,21,VfL Wolfsburg,183,right,7,0,12000000,Belgium,1.83
Kevin De Bruyne,Attacking Midfield,32,Manchester City,181,right,100,27,50000000,Belgium,1.81
Charles De Ketelaere,Attacking Midfield,23,Atalanta BC,192,left,14,2,34000000,Belgium,1.92
Jérémy Doku,Left Winger,22,Manchester City,173,right,21,2,65000000,Belgium,1.73
Leandro Trossard,Left Winger,29,Arsenal FC,172,right,33,8,35000000,Belgium,1.72
Yannick Carrasco,Left Winger,30,Al-Shabab FC,181,right,73,11,14000000,Belgium,1.81
Johan Bakayoko,Right Winger,21,PSV Eindhoven,179,left,11,1,45000000,Belgium,1.79
Dodi Lukébakio,Right Winger,26,Sevilla FC,187,left,15,2,12000000,Belgium,1.87
Loïs Openda,Centre-Forward,24,RB Leipzig,177,right,17,2,60000000,Belgium,1.77
Romelu Lukaku,Centre-Forward,31,AS Roma,191,left,114,83,30000000,Belgium,1.91
Marek Rodak,Goalkeeper,27,Fulham FC,194,right,22,0,3000000,Slovakia,1.94
Henrich Ravas,Goalkeeper,26,New England Revolution,195,right,0,0,1500000,Slovakia,1.95
Martin Dubravka,Goalkeeper,35,Newcastle United,191,right,42,0,1000000,Slovakia,1.91
David Hancko,Centre-Back,26,Feyenoord Rotterdam,188,left,37,4,35000000,Slovakia,1.88
Milan Skriniar,Centre-Back,29,Paris Saint-Germain,188,right,67,3,30000000,Slovakia,1.88
Denis Vavro,Centre-Back,28,FC Copenhagen,189,right,19,2,4000000,Slovakia,1.89
Adam Obert,Centre-Back,21,Cagliari Calcio,188,left,4,0,3500000,Slovakia,1.88
Norbert Gyomber,Centre-Back,31,US Salernitana 1919,189,right,39,0,1300000,Slovakia,1.89
Sebastian Kosa,Centre-Back,20,Spartak Trnava,191,right,1,0,1200000,Slovakia,1.91
Vernon De Marco,Centre-Back,31,Hatta Club,186,left,9,1,500000,Slovakia,1.86
Peter Pekarik,Right-Back,37,Hertha BSC,177,right,126,2,300000,Slovakia,1.77
Stanislav Lobotka,Defensive Midfield,29,SSC Napoli,168,right,54,4,28000000,Slovakia,1.68
Laszlo Benes,Central Midfield,26,Hamburger SV,181,left,21,1,5000000,Slovakia,1.81
Ondrej Duda,Central Midfield,29,Hellas Verona,180,right,71,13,4000000,Slovakia,1.8
Patrik Hrosovsky,Central Midfield,32,KRC Genk,173,right,55,0,3500000,Slovakia,1.73
Matus Bero,Central Midfield,28,VfL Bochum,181,right,29,1,3500000,Slovakia,1.81
Tomas Rigo,Central Midfield,21,FC Banik Ostrava,184,right,1,1,2200000,Slovakia,1.84
Juraj Kucka,Central Midfield,37,Slovan Bratislava,186,right,106,13,500000,Slovakia,1.86
Tomas Suslov,Attacking Midfield,22,Hellas Verona,174,left,27,3,7000000,Slovakia,1.74
Lukas Haraslin,Left Winger,28,AC Sparta Prague,182,right,35,6,5500000,Slovakia,1.82
Leo Sauer,Left Winger,18,Feyenoord Rotterdam,184,right,2,0,5000000,Slovakia,1.84
Ivan Schranz,Left Winger,30,SK Slavia Prague,185,right,21,3,2000000,Slovakia,1.85
Lubomir Tupta,Left Winger,26,FC Slovan Liberec,182,right,5,0,800000,Slovakia,1.82
David Duris,Left Winger,25,Ascoli Calcio,186,right,12,1,600000,Slovakia,1.86
Robert Bozenik,Centre-Forward,24,Boavista FC,188,right,39,6,5000000,Slovakia,1.88
David Strelec,Centre-Forward,23,Slovan Bratislava,185,left,18,3,2800000,Slovakia,1.85
Ștefan Târnovanu,Goalkeeper,24,FCSB,197,right,1,0,3000000,Romania,1.97
Horațiu Moldovan,Goalkeeper,26,Atlético de Madrid,189,right,11,0,2500000,Romania,1.89
Florin Niță,Goalkeeper,36,Gaziantep FK,184,right,21,0,225000,Romania,1.84
Radu Drăgușin,Centre-Back,22,Tottenham Hotspur,191,right,17,0,25000000,Romania,1.91
Andrei Burcă,Centre-Back,31,Al-Okhdood Club,188,right,27,1,3000000,Romania,1.88
Bogdan Racovițan,Centre-Back,24,Raków Częstochowa,187,Unknown,2,0,1800000,Romania,1.87
Ionuț Nedelcearu,Centre-Back,28,Palermo FC,190,right,27,2,1000000,Romania,1.9
Adrian Rus,Centre-Back,28,Pafos FC,188,right,20,1,700000,Romania,1.88
Nicuşor Bancu,Left-Back,31,CS Universitatea Craiova,182,left,36,2,1500000,Romania,1.82
Andrei Rațiu,Right-Back,25,Rayo Vallecano,183,right,17,1,1400000,Romania,1.83
Vasile Mogoș,Right-Back,31,CFR Cluj,186,right,7,0,900000,Romania,1.86
Adrian Șut,Defensive Midfield,25,FCSB,186,right,2,0,2700000,Romania,1.86
Răzvan Marin,Central Midfield,28,FC Empoli,178,right,55,3,2700000,Romania,1.78
Marius Marin,Central Midfield,25,Pisa Sporting Club,180,right,18,0,1600000,Romania,1.8
Darius Olaru,Attacking Midfield,26,FCSB,177,both,18,0,7000000,Romania,1.77
Nicolae Stanciu,Attacking Midfield,31,Damac FC,170,right,70,14,4500000,Romania,1.7
Alexandru Cicâldău,Attacking Midfield,26,Konyaspor,178,right,37,4,3000000,Romania,1.78
Ianis Hagi,Attacking Midfield,25,Deportivo Alavés,182,both,35,5,2000000,Romania,1.82
Florinel Coman,Left Winger,26,FCSB,182,right,15,1,7000000,Romania,1.82
Valentin Mihăilă,Left Winger,24,Parma Calcio 1913,180,right,21,4,2800000,Romania,1.8
Dennis Man,Right Winger,25,Parma Calcio 1913,183,left,24,7,9000000,Romania,1.83
Deian Sorescu,Right Winger,26,Gaziantep FK,175,right,17,0,1000000,Romania,1.75
Denis Drăguș,Centre-Forward,24,Gaziantep FK,185,right,11,2,4000000,Romania,1.85
Daniel Bîrligea,Centre-Forward,24,CFR Cluj,184,right,2,0,1600000,Romania,1.84
George Pușcaș,Centre-Forward,28,SSC Bari,188,right,42,11,1500000,Romania,1.88
Denis Alibec,Centre-Forward,33,Muaither SC,187,left,37,5,700000,Romania,1.87
Anatoliy Trubin,Goalkeeper,22,SL Benfica,199,right,11,0,25000000,Ukraine,1.99
Andriy Lunin,Goalkeeper,25,Real Madrid,191,right,11,0,25000000,Ukraine,1.91
Georgiy Bushchan,Goalkeeper,30,Dynamo Kyiv,196,right,18,0,7000000,Ukraine,1.96
Ilya Zabarnyi,Centre-Back,21,AFC Bournemouth,189,right,35,1,32000000,Ukraine,1.89
Mykola Matvienko,Centre-Back,28,Shakhtar Donetsk,182,left,64,0,18000000,Ukraine,1.82
Valeriy Bondar,Centre-Back,25,Shakhtar Donetsk,185,right,4,0,5000000,Ukraine,1.85
Maksym Taloverov,Centre-Back,23,LASK,196,right,3,0,2500000,Ukraine,1.96
Oleksandr Svatok,Centre-Back,29,SK Dnipro-1,186,right,6,0,2000000,Ukraine,1.86
Oleksandr Zinchenko,Left-Back,27,Arsenal FC,175,left,62,9,38000000,Ukraine,1.75
Vitaliy Mykolenko,Left-Back,25,Everton FC,180,left,40,1,28000000,Ukraine,1.8
Bogdan Mykhaylichenko,Left-Back,27,Polissya Zhytomyr,178,left,8,0,2500000,Ukraine,1.78
Yukhym Konoplya,Right-Back,24,Shakhtar Donetsk,180,right,13,1,6000000,Ukraine,1.8
Oleksandr Tymchyk,Right-Back,27,Dynamo Kyiv,180,right,17,1,4000000,Ukraine,1.8
Volodymyr Brazhko,Defensive Midfield,22,Dynamo Kyiv,184,right,3,0,5000000,Ukraine,1.84
Taras Stepanenko,Defensive Midfield,34,Shakhtar Donetsk,181,left,82,4,2500000,Ukraine,1.81
Sergiy Sydorchuk,Defensive Midfield,33,KVC Westerlo,189,right,61,3,2000000,Ukraine,1.89
Mykola Shaparenko,Central Midfield,25,Dynamo Kyiv,178,right,30,1,9000000,Ukraine,1.78
Georgiy Sudakov,Attacking Midfield,21,Shakhtar Donetsk,177,both,16,1,35000000,Ukraine,1.77
Ruslan Malinovskyi,Attacking Midfield,31,Genoa CFC,181,left,60,7,8000000,Ukraine,1.81
Mykhaylo Mudryk,Left Winger,23,Chelsea FC,175,right,20,2,35000000,Ukraine,1.75
Viktor Tsygankov,Right Winger,26,Girona FC,178,left,53,12,30000000,Ukraine,1.78
Oleksandr Zubkov,Right Winger,27,Shakhtar Donetsk,182,left,32,2,7000000,Ukraine,1.82
Andriy Yarmolenko,Right Winger,34,Dynamo Kyiv,189,left,118,46,2000000,Ukraine,1.89
Artem Dovbyk,Centre-Forward,26,Girona FC,189,left,27,9,35000000,Ukraine,1.89
Vladyslav Vanat,Centre-Forward,22,Dynamo Kyiv,182,left,6,0,10000000,Ukraine,1.82
Roman Yaremchuk,Centre-Forward,28,Valencia CF,191,right,49,14,3500000,Ukraine,1.91
Altay Bayındır,Goalkeeper,26,Manchester United,198,right,9,0,10000000,Turkiye,1.98
Uğurcan Çakır,Goalkeeper,28,Trabzonspor,191,right,27,0,8000000,Turkiye,1.91
Mert Günok,Goalkeeper,35,Besiktas JK,196,right,28,0,1200000,Turkiye,1.96
Merih Demiral,Centre-Back,26,Al-Ahli SFC,190,right,43,2,16000000,Turkiye,1.9
Ahmetcan Kaplan,Centre-Back,21,Ajax Amsterdam,189,left,0,0,10000000,Turkiye,1.89
Abdülkerim Bardakcı,Centre-Back,29,Galatasaray,185,left,7,1,9000000,Turkiye,1.85
Kaan Ayhan,Centre-Back,29,Galatasaray,185,right,57,5,4700000,Turkiye,1.85
Samet Akaydin,Centre-Back,30,Panathinaikos FC,190,right,5,0,2500000,Turkiye,1.9
Ferdi Kadıoğlu,Left-Back,24,Fenerbahce,174,right,15,1,21000000,Turkiye,1.74
Zeki Çelik,Right-Back,27,AS Roma,180,right,45,2,6000000,Turkiye,1.8
Mert Müldür,Right-Back,25,Fenerbahce,184,right,23,1,4200000,Turkiye,1.84
Hakan Çalhanoğlu,Defensive Midfield,30,Inter Milan,178,right,85,18,45000000,Turkiye,1.78
İsmail Yüksek,Defensive Midfield,25,Fenerbahce,183,right,14,1,12000000,Turkiye,1.83
Salih Özcan,Defensive Midfield,26,Borussia Dortmund,183,right,17,0,10000000,Turkiye,1.83
Okay Yokuşlu,Defensive Midfield,30,West Bromwich Albion,191,right,39,1,3000000,Turkiye,1.91
Orkun Kökçü,Central Midfield,23,SL Benfica,175,both,27,2,27000000,Turkiye,1.75
Arda Güler,Attacking Midfield,19,Real Madrid,175,left,6,1,30000000,Turkiye,1.75
Yusuf Yazıcı,Attacking Midfield,27,LOSC Lille,184,left,43,3,10000000,Turkiye,1.84
Kerem Aktürkoğlu,Left Winger,25,Galatasaray,173,right,28,5,15000000,Turkiye,1.73
Barış Alper Yılmaz,Right Winger,24,Galatasaray,186,right,14,1,17000000,Turkiye,1.86
İrfan Can Kahveci,Right Winger,28,Fenerbahce,180,left,31,2,10000000,Turkiye,1.8
Yunus Akgün,Right Winger,23,Leicester City,173,left,9,2,5000000,Turkiye,1.73
Kenan Yıldız,Second Striker,19,Juventus FC,187,both,6,1,30000000,Turkiye,1.87
Semih Kılıçsoy,Centre-Forward,18,Besiktas JK,178,right,1,0,12000000,Turkiye,1.78
Bertuğ Yıldırım,Centre-Forward,21,Stade Rennais FC,191,right,3,2,3500000,Turkiye,1.91
Cenk Tosun,Centre-Forward,33,Besiktas JK,183,right,50,20,2000000,Turkiye,1.83
Giorgi Mamardashvili,Goalkeeper,23,Valencia CF,197,left,16,0,35000000,Georgia,1.97
Luka Gugeshashvili,Goalkeeper,25,Qarabağ FK,196,left,1,0,600000,Georgia,1.96
Giorgi Loria,Goalkeeper,38,Dinamo Tbilisi,197,right,77,0,50000,Georgia,1.97
Luka Lochoshvili,Centre-Back,26,US Cremonese,192,left,10,1,1100000,Georgia,1.92
Lasha Dvali,Centre-Back,29,APOEL Nicosia,191,left,31,1,900000,Georgia,1.91
Solomon Kvirkvelia,Centre-Back,32,Al-Okhdood Club,196,right,58,0,700000,Georgia,1.96
Jemal Tabidze,Centre-Back,28,Panetolikos GFS,187,left,15,1,500000,Georgia,1.87
Giorgi Gvelesiani,Centre-Back,33,Persepolis FC,193,right,0,0,400000,Georgia,1.93
Guram Kashia,Centre-Back,36,Slovan Bratislava,185,right,112,3,250000,Georgia,1.85
Giorgi Gocholeishvili,Right-Back,23,Shakhtar Donetsk,178,right,8,0,2500000,Georgia,1.78
Anzor Mekvabishvili,Defensive Midfield,23,CS Universitatea Craiova,174,right,13,0,1200000,Georgia,1.74
Nika Kvekveskiri,Defensive Midfield,32,Lech Poznan,186,right,59,0,500000,Georgia,1.86
Gabriel Sigua,Central Midfield,18,FC Basel 1893,190,right,2,0,2500000,Georgia,1.9
Giorgi Kochorashvili,Central Midfield,24,Levante UD,178,right,7,0,1000000,Georgia,1.78
Sandro Altunashvili,Central Midfield,27,Wolfsberger AC,169,right,4,0,800000,Georgia,1.69
Otar Kakabadze,Right Midfield,28,Cracovia,186,right,60,0,600000,Georgia,1.86
Otar Kiteishvili,Attacking Midfield,28,SK Sturm Graz,173,both,36,2,5000000,Georgia,1.73
Giorgi Chakvetadze,Attacking Midfield,24,Watford FC,183,right,24,8,2500000,Georgia,1.83
Khvicha Kvaratskhelia,Left Winger,23,SSC Napoli,183,both,29,15,80000000,Georgia,1.83
Saba Lobjanidze,Left Winger,29,Atlanta United FC,175,left,36,3,2000000,Georgia,1.75
Georgiy Tsitaishvili,Left Winger,23,Dinamo Batumi,171,left,16,1,800000,Georgia,1.71
Zuriko Davitashvili,Right Winger,23,FC Girondins Bordeaux,175,right,34,6,3000000,Georgia,1.75
Levan Shengelia,Right Winger,28,Panetolikos GFS,184,left,16,1,750000,Georgia,1.84
Georges Mikautadze,Centre-Forward,23,FC Metz,176,right,24,9,15000000,Georgia,1.76
Giorgi Kvilitaia,Centre-Forward,30,APOEL Nicosia,193,right,37,6,1600000,Georgia,1.93
Budu Zivzivadze,Centre-Forward,30,Karlsruher SC,189,both,25,7,900000,Georgia,1.89
Diogo Costa,Goalkeeper,24,FC Porto,186,right,20,0,40000000,Portugal,1.86
José Sá,Goalkeeper,31,Wolverhampton Wanderers,192,right,2,0,14000000,Portugal,1.92
