Name,Position,Age,Club,Height,Foot,Caps,Goals,MarketValue,Country,Height_m
Ádám Nagy,Defensive Midfield,28,Spezia Calcio,178,right,80,2,900000,Hungary,1.78
Dominik Szoboszlai,Central Midfield,23,Liverpool FC,187,right,41,12,75000000,Hungary,1.87
András Schäfer,Central Midfield,25,1.FC Union Berlin,178,right,25,3,5000000,Hungary,1.78
Callum Styles,Central Midfield,24,Barnsley FC,167,left,21,0,2500000,Hungary,1.67
Mihály Kata,Central Midfield,22,MTK Budapest,176,right,3,0,1000000,Hungary,1.76
Dániel Gazdag,Attacking Midfield,28,Philadelphia Union,178,right,24,4,8000000,Hungary,1.78
László Kleinheisler,Attacking Midfield,30,HNK Hajduk Split,173,right,50,3,1500000,Hungary,1.73
Krisztofer Horváth,Attacking Midfield,22,Kecskeméti TE,185,right,2,0,1200000,Hungary,1.85
Roland Sallai,Right Winger,27,SC Freiburg,183,both,48,12,15000000,Hungary,1.83
Kevin Csoboth,Right Winger,23,Újpest FC,174,right,7,0,1000000,Hungary,1.74
Barnabás Varga,Centre-Forward,29,Ferencvárosi TC,181,right,10,4,2500000,Hungary,1.81
Martin Ádám,Centre-Forward,29,Ulsan HD FC,191,left,20,3,800000,Hungary,1.91
Gregor Kobel,Goalkeeper,26,Borussia Dortmund,196,right,5,0,40000000,Switzerland,1.96
Yann Sommer,Goalkeeper,35,Inter Milan,183,right,88,0,5000000,Switzerland,1.83
Yvon Mvogo,Goalkeeper,30,FC Lorient,190,right,9,0,3000000,Switzerland,1.9
Manuel Akanji,Centre-Back,28,Manchester City,188,right,59,3,45000000,Switzerland,1.88
Nico Elvedi,Centre-Back,27,Borussia Mönchengladbach,189,right,52,2,10000000,Switzerland,1.89
Fabian Schär,Centre-Back,32,Newcastle United,186,right,81,8,10000000,Switzerland,1.86
Leonidas Stergiou,Centre-Back,22,VfB Stuttgart,181,right,2,0,5000000,Switzerland,1.81
Cédric Zesiger,Centre-Back,25,VfL Wolfsburg,194,left,3,0,5000000,Switzerland,1.94
Ricardo Rodríguez,Centre-Back,31,Torino FC,182,left,114,9,3500000,Switzerland,1.82
Silvan Widmer,Right-Back,31,1.FSV Mainz 05,183,right,42,3,3000000,Switzerland,1.83
Denis Zakaria,Defensive Midfield,27,AS Monaco,190,right,54,3,25000000,Switzerland,1.9
Granit Xhaka,Defensive Midfield,31,Bayer 04 Leverkusen,186,left,124,14,20000000,Switzerland,1.86
Ardon Jashari,Defensive Midfield,21,FC Luzern,181,left,2,0,6000000,Switzerland,1.81
Michel Aebischer,Central Midfield,27,Bologna FC 1909,183,right,19,0,9000000,Switzerland,1.83
Remo Freuler,Central Midfield,32,Bologna FC 1909,180,right,66,8,6500000,Switzerland,1.8
Vincent Sierro,Central Midfield,28,FC Toulouse,185,right,2,0,4000000,Switzerland,1.85
Fabian Rieder,Attacking Midfield,22,Stade Rennais FC,179,left,5,0,8000000,Switzerland,1.79
Xherdan Shaqiri,Attacking Midfield,32,Chicago Fire FC,169,left,122,31,2500000,Switzerland,1.69
Noah Okafor,Left Winger,24,AC Milan,185,right,21,2,20000000,Switzerland,1.85
Steven Zuber,Left Winger,32,AEK Athens,182,right,53,11,2000000,Switzerland,1.82
Dan Ndoye,Right Winger,23,Bologna FC 1909,184,right,10,0,14000000,Switzerland,1.84
Rubén Vargas,Right Winger,25,FC Augsburg,179,right,42,7,7500000,Switzerland,1.79
Renato Steffen,Right Winger,32,FC Lugano,170,left,39,4,1000000,Switzerland,1.7
Breel Embolo,Centre-Forward,27,AS Monaco,187,right,63,13,12000000,Switzerland,1.87
Zeki Amdouni,Centre-Forward,23,Burnley FC,185,both,14,7,12000000,Switzerland,1.85
Kwadwo Duah,Centre-Forward,27,Ludogorets Razgrad,185,right,1,0,3000000,Switzerland,1.85
David Raya,Goalkeeper,28,Arsenal FC,183,right,5,0,35000000,Spain,1.83
Unai Simón,Goalkeeper,26,Athletic Bilbao,190,right,39,0,30000000,Spain,1.9
Álex Remiro,Goalkeeper,29,Real Sociedad,191,right,1,0,25000000,Spain,1.91
Robin Le Normand,Centre-Back,27,Real Sociedad,187,right,10,1,40000000,Spain,1.87
Dani Vivian,Centre-Back,24,Athletic Bilbao,184,right,2,0,25000000,Spain,1.84
Aymeric Laporte,Centre-Back,30,Al-Nassr FC,191,left,28,1,20000000,Spain,1.91
Nacho Fernández,Centre-Back,34,Real Madrid,180,right,24,1,3000000,Spain,1.8
Alejandro Grimaldo,Left-Back,28,Bayer 04 Leverkusen,171,left,3,0,45000000,Spain,1.71
Marc Cucurella,Left-Back,25,Chelsea FC,173,left,3,0,25000000,Spain,1.73
Daniel Carvajal,Right-Back,32,Real Madrid,173,right,43,0,12000000,Spain,1.73
Jesús Navas,Right-Back,38,Sevilla FC,170,right,52,5,2500000,Spain,1.7
Rodri,Defensive Midfield,27,Manchester City,191,right,49,3,120000000,Spain,1.91
Martín Zubimendi,Defensive Midfield,25,Real Sociedad,181,right,6,0,50000000,Spain,1.81
Pedri,Central Midfield,21,FC Barcelona,174,right,19,0,80000000,Spain,1.74
Mikel Merino,Central Midfield,27,Real Sociedad,189,left,20,1,50000000,Spain,1.89
Fabián Ruiz,Central Midfield,28,Paris Saint-Germain,189,left,22,1,30000000,Spain,1.89
Fermín López,Central Midfield,21,FC Barcelona,174,right,1,0,30000000,Spain,1.74
Dani Olmo,Attacking Midfield,26,RB Leipzig,179,right,33,8,50000000,Spain,1.79
